	param_detector__bootstrap	param_detector__contamination	param_detector__max_features	param_detector__max_samples	param_detector__n_estimators	mean_test_score	std_test_score	rank_test_score	mean_train_score	std_train_score	rank_train_score
0	True	0.1052	1	1095	100	0.4981713411517699	0.0015237199183457879	1	0.4959243618670725	0.0012544819383070267	1
1	True	0.09140000000000001	1	2080	100	0.4981713411517699	0.0015237199183457879	1	0.4959243618670725	0.0012544819383070267	1
2	True	0.0231	1	3020	150	0.4979090557346155	0.0016892237165715474	3	0.4957334080126543	0.001153086873608089	3
3	True	0.0085	1	3465	150	0.4979090557346155	0.0016892237165715474	3	0.4957334080126543	0.001153086873608089	3
4	True	0.09910000000000001	1	680	200	0.49681733714212734	0.0015250156460153601	5	0.49464295787140034	0.0011539184373116364	6
5	True	0.0985	1	1345	250	0.49680511772460034	0.0015379700837517098	6	0.4948461062986425	0.0008841252336920752	5
6	True	0.0902	1	835	350	0.49601173836336665	0.0010850400363024203	7	0.49408689212651613	0.0008060908008936771	7
7	True	0.0733	1	1715	700	0.49587371970590777	0.0012958533324465276	8	0.4938786206478657	0.0008429898982779825	8
8	True	0.024900000000000002	1	3850	750	0.4958190812937775	0.001155153161811685	9	0.4938120082606116	0.0007766476073524725	9
9	True	0.06010000000000001	1	1125	550	0.4957063842551416	0.0011392446791708584	10	0.4937295227269763	0.001071037746566149	10
10	True	0.1072	1	2845	500	0.4955037271969404	0.001135782191320762	11	0.49356989291169234	0.0009142896460558614	11
11	True	0.005600000000000001	1	805	400	0.49519841225939193	0.0011745700903893269	12	0.4932574520952473	0.000790379835779224	12
12	True	0.048100000000000004	1	1410	450	0.4949692898985429	0.001237560113593086	13	0.49305971860002923	0.0008858900495034532	13
13	True	0.020300000000000002	1	475	100	0.4939309058966833	0.0031924757586121464	14	0.4919101052375746	0.001790362710178981	14
14	True	0.00030000000000000003	1	590	650	0.4938642613928158	0.001682366220370968	15	0.4917164059671185	0.0009721985414577284	15
15	True	0.07690000000000001	2	1410	500	0.4841230603608267	0.0017787654705298322	16	0.4816740669400641	0.0005013977740073117	16
16	True	0.11960000000000001	2	3505	150	0.48388141348395103	0.0028149430615275364	17	0.48124447249006674	0.0018172231028175695	17
17	True	0.1126	3	835	600	0.48007195593390534	0.002208132020010439	18	0.4778090438488033	0.0006903251165992217	18
18	True	0.09140000000000001	4	835	200	0.4785523309587168	0.003237746503655105	19	0.47616633938867725	0.0016313126103963105	20
19	True	0.045500000000000006	6	1410	150	0.47841230643475025	0.0032759001812128624	20	0.47610348705414607	0.0011506938822484246	21
20	True	0.0222	15	150	150	0.47817828927713146	0.0037301043225667443	21	0.4770945302534361	0.0017772729055559675	19
21	True	0.09300000000000001	6	3505	500	0.47706696295278955	0.002914161832859502	22	0.4749661199598445	0.0007708209320617302	22
22	True	0.05260000000000001	6	2195	600	0.47643660125763077	0.003257937589379166	23	0.4744319357596979	0.00109828167354019	23
23	True	0.0207	9	3225	450	0.47605867907636396	0.0033502900569714307	24	0.47402676594217497	0.0014463046216652785	24
24	True	0.10590000000000001	5	3805	650	0.47590824264841725	0.002394390399860364	25	0.47383839904871417	0.0008778643156894767	25
25	True	0.084	13	1720	350	0.475387545291469	0.0031965759999029934	26	0.4733837983051762	0.0010939485574531242	26
26	True	0.05260000000000001	8	2890	700	0.474974967499338	0.0030375052147269673	27	0.47304179586994294	0.0011802866141170294	28
27	True	0.0221	14	2890	700	0.4748228839249955	0.0032299177194117447	28	0.47276058241314106	0.0007185729673526693	29
28	True	0.05140000000000001	8	3715	600	0.4747157789760939	0.0030760926314228622	29	0.4727053687867975	0.0012607148283476986	30
29	True	0.0614	8	800	600	0.4747157789760939	0.0030760926314228622	29	0.4727053687867975	0.0012607148283476986	30
30	True	0.11030000000000001	8	3365	300	0.4745827344644308	0.0032249351347313376	31	0.4726221632193582	0.001486856323253412	32
31	True	0.07060000000000001	10	2315	500	0.47445349584105756	0.0028754370496059836	32	0.47259698349933893	0.0007197409818581441	33
32	False	0.10080000000000001	8	105	250	0.4740750504784811	0.0030179416413117994	33	0.47331204745475547	0.001078551915194548	27
33	True	0.05260000000000001	12	3855	600	0.4738607173048722	0.004043156802052622	34	0.4718565591233034	0.0017531304191792322	34
34	True	0.03200000000000001	11	1670	500	0.4734787061484467	0.0031493153058408936	35	0.4715868146089147	0.0014451222235169437	35
35	True	0.0614	7	425	500	0.47169839531708424	0.0030545990187398424	36	0.47004736202380304	0.0005020026717064721	36
36	False	0.0101	1	1665	650	0.46606493950415395	0.001780939145160143	37	0.4637557064704979	0.0005854043441329325	37
37	False	0.1102	2	1790	200	0.4526579290400729	0.001345983867185235	38	0.450204380897609	0.0007136958095567418	38
38	False	0.1102	3	685	600	0.44785077837967036	0.002467652979175555	39	0.44541842843516244	0.0012017231131227202	40
39	False	0.08660000000000001	10	430	650	0.44756706655455025	0.002863256482217809	40	0.44597215701309595	0.0004903691133034127	39
40	False	0.0751	4	2350	150	0.4469917824867428	0.0025244346590142927	41	0.44437164761056935	0.0007558837554945422	41
41	False	0.0256	9	1335	200	0.44496100476510597	0.002108718994521856	42	0.44294965151128735	0.001244277913076637	42
42	False	0.0269	6	1665	400	0.44354772790738417	0.0024803824357487484	43	0.4414213983516916	0.0009405064526596816	43
43	False	0.0101	7	825	650	0.44312744487165084	0.0024341835405956714	44	0.44087165614570695	0.0010289794077315401	45
44	False	0.1028	5	1610	450	0.44301936670932546	0.00219250991146993	45	0.44089507337989076	0.0008734820494209774	44
45	False	0.061900000000000004	15	3285	650	0.4412442038618182	0.002672051215756732	46	0.43945876214209073	0.0005928226609304299	46
46	False	0.0101	13	2795	700	0.4410658600745145	0.002222246266199351	47	0.4391842603612549	0.00081569985689871	47
47	False	0.0873	14	1330	550	0.44086270346575107	0.002726907485127112	48	0.43881403200535984	0.0009761832812335401	48
48	False	0.042100000000000005	12	1085	350	0.44074380792822776	0.003604095341070739	49	0.4387798622901352	0.0015708988844590095	49
49	False	0.0981	11	1090	500	0.440026784970339	0.0023709444139812874	50	0.4382345741647695	0.0010843417822900372	50
